id1,id2
1,4
1,5
1,6
7,4
7,5
7,6
7,240
7,563
8,6
8,564
13,6
14,40
15,4
15,5
15,6
15,108
16,6
16,565
17,4
17,5
18,184
19,4
19,5
19,6
19,64
19,93
20,4
20,5
20,93
21,1
22,1
23,185
24,185
25,4
26,1
26,516
26,530
27,4
28,6
28,490
29,5
29,93
30,6
5,4
32,5
33,5
34,19
34,29
34,71
34,93
34,117
34,566
35,6
35,38
35,567
36,1
36,38
37,6
38,4
38,563
39,6
40,6
40,497
41,185
41,1
42,6
42,564
43,6
43,185
44,1
44,564
44,568
45,5
46,87
46,564
47,1
49,6
49,185
50,4
51,6
51,71
51,5
51,93
52,4
52,234
52,38
53,4
53,6
53,77
54,6
56,566
56,19
56,26
56,108
57,4
57,116
57,188
57,5
58,6
59,568
59,8
59,87
60,6
6,4
6,5
62,8
62,87
62,35
62,42
62,44
62,16
62,69
62,569
62,74
62,111
62,105
63,570
64,6
64,4
64,7
64,571
66,6
67,6
67,4
67,563
67,38
68,6
68,568
69,6
69,38
69,572
70,6
71,5
72,17
73,64
74,87
74,38
74,571
76,1
77,217
77,1
77,481
77,494
77,188
77,502
77,527
77,240
78,6
78,185
79,6
79,35
80,5
81,4
81,38
82,4
82,6
83,6
84,1
84,185
84,573
85,568
85,8
85,357
86,6
86,7
86,234
87,6
87,568
88,568
88,6
88,574
89,1
89,48
90,6
90,185
90,576
92,563
93,5
94,93
95,4
95,5
96,6
96,185
97,6
97,564
97,502
98,5
100,108
100,26
101,5
102,6
102,502
102,503
103,6
104,6
104,64
105,571
105,572
107,576
107,577
107,578
108,6
108,571
108,580
109,516
109,581
110,1
111,572
111,102
111,6
111,91
113,582
113,6
113,91
113,185
114,570
114,380
115,563
115,583
116,4
116,563
117,563
117,66
2,6
2,188
2,217
2,240
2,378
2,380
2,422
2,454
2,463
2,467
2,584
6,179
6,180
6,181
6,182
6,183
6,184
6,185
6,186
6,187
188,189
188,190
188,191
188,192
188,193
188,194
188,195
188,196
188,197
188,198
188,199
188,200
188,201
188,202
188,203
188,204
188,205
188,206
188,207
188,208
188,209
188,210
188,211
188,214
188,212
188,213
188,283
188,284
188,285
188,280
188,286
188,287
188,288
188,289
188,290
188,291
188,281
188,282
188,292
188,293
188,294
188,215
188,295
217,216
217,218
217,219
217,220
217,221
217,222
217,223
217,224
217,225
217,226
217,227
217,228
217,229
217,230
217,231
217,232
217,233
217,234
217,235
217,236
217,237
217,238
217,239
240,241
240,242
240,243
240,244
240,245
240,246
240,247
240,248
240,249
240,250
240,251
240,252
240,253
240,254
240,255
240,256
240,257
240,258
240,259
240,260
240,261
240,262
240,263
240,264
240,296
240,297
240,298
240,299
240,300
240,301
240,302
240,303
240,304
240,305
240,306
240,307
240,308
240,309
240,310
240,311
240,312
240,313
240,314
240,315
240,316
240,317
240,318
240,319
240,320
240,321
240,322
240,323
240,324
240,325
240,326
240,327
240,328
240,329
240,330
240,331
240,332
240,333
240,334
240,335
240,336
240,337
240,338
240,339
240,340
240,341
240,342
240,343
240,344
240,345
240,346
240,347
240,348
240,349
240,350
240,351
240,352
240,353
240,354
240,355
240,356
240,357
240,358
240,359
240,360
240,361
240,362
240,363
240,364
240,365
240,366
240,367
240,368
240,369
240,370
240,371
240,372
240,373
240,374
240,375
240,376
240,377
378,382
378,383
378,384
378,385
378,386
378,387
378,388
378,389
378,390
378,391
378,392
378,393
378,394
378,395
378,396
378,397
378,398
378,399
378,400
378,401
378,402
378,403
378,404
378,405
378,406
378,407
378,408
378,409
378,410
378,411
378,412
378,413
378,414
378,415
378,416
378,417
378,418
378,419
378,420
378,421
422,423
422,424
422,425
422,426
422,427
422,428
422,429
422,430
422,431
422,432
422,433
422,434
422,435
422,436
422,437
422,438
422,439
422,440
422,441
422,442
422,443
422,444
422,445
422,446
422,447
422,448
422,449
422,450
422,451
422,452
422,453
454,456
454,457
454,458
454,459
454,460
454,461
454,462
463,464
463,465
463,466
467,468
467,469
467,470
467,471
467,472
467,473
467,474
467,475
467,476
467,477
467,478
467,479
584,481
584,482
584,483
584,484
584,485
584,486
584,487
584,488
584,489
585,490
585,491
585,492
585,493
585,494
585,495
585,496
